"typeName","type","value"
"CountryCode","enumeratedString","TK"
"CountryCode","enumeratedString","TL"
"CountryCode","enumeratedString","TM"
"CountryCode","enumeratedString","TN"
"CountryCode","enumeratedString","TO"
"CountryCode","enumeratedString","TR"
"CountryCode","enumeratedString","TT"
"CountryCode","enumeratedString","TV"
"CountryCode","enumeratedString","TW"
"CountryCode","enumeratedString","TZ"
"CountryCode","enumeratedString","UA"
"CountryCode","enumeratedString","UG"
"CountryCode","enumeratedString","UM"
"CountryCode","enumeratedString","US"
"CountryCode","enumeratedString","UY"
"CountryCode","enumeratedString","UZ"
"CountryCode","enumeratedString","VA"
"CountryCode","enumeratedString","VC"
"CountryCode","enumeratedString","VE"
"CountryCode","enumeratedString","VG"
"CountryCode","enumeratedString","VI"
"CountryCode","enumeratedString","VN"
"CountryCode","enumeratedString","VU"
"CountryCode","enumeratedString","WF"
"CountryCode","enumeratedString","WS"
"CountryCode","enumeratedString","YE"
